0,0,0
0,0,0
175,127,0
175,127,0
175,127,0
175,127,0
87,63,0
0,0,0
0,0,0
0,0,0
175,127,0
175,127,0
175,127,0
175,127,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
175,127,0
175,127,0
175,127,0
149,68,0
0,0,0
0,0,0
0,0,0
175,126,0
175,127,0
175,127,0
131,95,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
247,57,0
248,56,0
248,56,0
170,38,0
0,0,0
248,56,0
248,56,0
248,56,0
206,106,18
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
255,163,71
254,161,70
248,62,4
248,56,0
248,56,0
248,56,0
248,56,0
248,56,0
248,56,0
248,56,0
254,155,65
255,163,71
0,0,0
0,0,0
0,0,0
0,0,0
255,163,71
255,163,71
254,156,66
248,62,4
248,56,0
248,56,0
248,56,0
248,56,0
248,56,0
254,150,62
254,162,70
255,163,71
0,0,0
0,0,0
0,0,0
0,0,0
255,163,71
255,163,71
180,129,4
243,60,0
254,156,66
248,62,4
248,56,0
254,156,66
248,62,4
179,122,0
250,160,66
255,163,71
0,0,0
0,0,0
0,0,0
0,0,0
175,127,0
175,127,0
175,127,0
175,127,0
243,60,0
248,56,0
248,56,0
248,56,0
179,122,0
175,127,0
175,127,0
175,127,0
0,0,0
0,0,0
0,0,0
0,0,0
131,95,0
175,127,0
175,127,0
175,127,0
243,60,0
183,118,0
179,122,0
243,60,0
179,122,0
175,127,0
175,127,0
136,99,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
147,102,13
210,142,31
205,137,25
180,122,0
175,126,0
175,127,0
243,60,0
179,122,0
175,127,0
136,99,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
254,162,70
255,163,71
255,163,71
255,163,71
255,163,71
255,163,71
255,163,71
192,133,20
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
175,127,0
175,127,0
175,127,0
175,127,0
250,160,66
255,163,71
255,163,71
255,163,71
180,129,4
175,127,0
87,63,0
0,0,0
0,0,0
0,0,0
0,0,0
254,162,70
250,160,66
250,160,66
179,129,4
245,158,62
254,162,70
255,163,71
184,131,8
180,129,4
245,158,62
179,129,4
87,63,0
0,0,0
0,0,0
0,0,0
0,0,0
192,122,53
255,163,71
255,163,71
250,160,66
184,131,8
250,160,66
255,163,71
250,160,66
179,129,4
250,160,66
180,129,4
87,63,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
254,161,70
180,129,4
250,160,66
255,163,71
180,129,4
175,127,0
175,127,0
136,92,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
248,56,0
248,56,0
248,56,0
248,56,0
248,56,0
248,56,0
248,56,0
248,56,0
248,56,0
119,32,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
139,31,0
139,31,0
186,42,0
248,56,0
248,56,0
248,56,0
248,56,0
248,56,0
193,43,0
0,0,0
0,0,0
0,0,0
0,0,0
